REF;DESCRIÇÃO DO PRODUTO ;DATA SAÍDA ;Dia;O.S;ÁREA DE APLICAÇÃO;Qtd.;m²;UNID;TIPO DE APLICAÇÃO ;RETIRADO POR
TINTA;TINTA N2677 CINZA GELO N8;25/07/2025;sexta-feira;37132;PRÉDIO PCI 3N;0,72;3,60;Litro;SOLDAS/LINHA N2/SUPORTE ELETRICA/BFG/BOOSTER;FIDELIS
TINTA;TINTA MACROPOX CINZA 6.5;25/07/2025;sexta-feira;37131;PRÉDIO GAD;1,50;7,50;Litro;SOLDAS DO SILO/AREA DE PRE MONTAGEM;DEIGSON
TINTA;TINTA MACROPOX CINZA 6.5;25/07/2025;sexta-feira;37131;PRÉDIO GAD;0,90;4,50;Litro;SUPORTES E ESTRUTURAS PLATAFORMA DE N2;FIDELIS
TINTA;TINTA N2677 AMARELO SINTÉTICO  5Y8/12;25/07/2025;sexta-feira;37131;PRÉDIO GAD;0,90;4,50;Litro;SOLDAS/LINHA N2;FIDELIS
TINTA;TINTA MACROPOX CINZA 6.5;25/07/2025;sexta-feira;37131;PRÉDIO GAD;1,50;7,50;Litro;MOINHO/SUPORTE DE ELETRICA/SOLDA DAS TUBULAÇOES;FIDELIS
TINTA;TINTA MACROPOX CINZA 6.5;26/07/2025;sábado;37131;PRÉDIO GAD;0,90;4,50;Litro;SILO DE GROSSO;FIDELIS
TINTA;TINTA N2677 CINZA GELO N8;26/07/2025;sábado;37131;PRÉDIO GAD;1,00;5,00;Litro;PATIO DE CARVÃO;DEIGSON
TINTA;TINTA MACROPOX CINZA 6.5;26/07/2025;sábado;37131;PRÉDIO GAD;1,00;5,00;Litro;PATIO DE CARVÃO;DEIGSON
TINTA;TINTA N2677 AMARELO SINTÉTICO  5Y8/12;26/07/2025;sábado;37131;PRÉDIO GAD;0,50;2,50;Litro;PATIO DE CARVÃO;DEIGSON
TINTA;TINTA N2677 CINZA GELO N8;26/07/2025;sábado;37131;PRÉDIO GAD;4,00;20,00;Litro;SILO DE GROSSO;FIDELIS
TINTA;TINTA EPOXI, N2630 CINZA PREIME;26/07/2025;sábado;37132;PRÉDIO PCI 3N;0,50;2,50;Litro;TETO/COSTADO SILO DE FINO;LUIZ
TINTA;TINTA N2677 CINZA GELO N8;28/07/2025;segunda-feira;37131;PRÉDIO GAD;0,90;4,50;Litro;T.T03;FIDELIS
TINTA;TINTA MACROPOX CINZA 6.5;28/07/2025;segunda-feira;37131;PRÉDIO GAD;1,00;5,00;Litro;PRÉDIO GAD;SILVIO
TINTA;TINTA N2677 CINZA GELO N8;28/07/2025;segunda-feira;37131;PRÉDIO GAD;0,90;4,50;Litro;PRÉDIO GAD;FIDELIS
TINTA;TINTA N2677 AMARELO SINTÉTICO  5Y8/12;28/07/2025;segunda-feira;37132;PRÉDIO PCI 3N;0,50;2,50;Litro;RUA 28 LINHA DE GAS NATURAL;LUIZ
TINTA;TINTA N2677 CINZA GELO N8;28/07/2025;segunda-feira;37132;PRÉDIO PCI 3N;1,20;6,00;Litro;UTILIDADES BFG;LUIZ
TINTA;TINTA MACROPOX 646 VERMELHO OXIDO ;29/07/2025;terça-feira;37132;PRÉDIO PCI 3N;0,50;2,50;Litro;LINHA DE GAS NATURAL;LUIZ
TINTA;TINTA EPOXI, N2630 CINZA PREIME;29/07/2025;terça-feira;37132;PRÉDIO PCI 3N;1,50;7,50;Litro;RUA 32;LUIZ
TINTA;TINTA MACROPOX CINZA 6.5;29/07/2025;terça-feira;37131;PRÉDIO GAD;0,90;4,50;Litro;PISO 0 ELEVAÇÃO 7,400/11,400;FIDELIS
TINTA;TINTA N2677 CINZA GELO N8;29/07/2025;terça-feira;37131;PRÉDIO GAD;1,00;5,00;Litro;PISO 0 ELEVAÇÃO 7,400/11,400;FIDELIS
TINTA;TINTA MACROPOX CINZA 6.5;29/07/2025;terça-feira;37131;PRÉDIO GAD;1,00;5,00;Litro;PLATAFORMAS DE N2;FIDELIS
TINTA;TINTA N2677 CINZA GELO N8;29/07/2025;terça-feira;37132;PRÉDIO PCI 3N;0,90;1,00;Litro;COSTADO DO SILO DE FINO;LUIZ
TINTA;TINTA EPOXI, N2630 CINZA PREIME;30/07/2025;quarta-feira;37132;PRÉDIO PCI 3N;1,50;7,50;Litro;COSTADO DP SILO;LUIZ
TINTA;TINTA EPOXI, N2630 CINZA PREIME;30/07/2025;quarta-feira;37132;PRÉDIO PCI 3N;0,50;2,50;Litro;LINHA NOVA BFG;LUIZ
TINTA;TINTA N2677 CINZA GELO N8;30/07/2025;quarta-feira;37131;PRÉDIO GAD;1,00;5,00;Litro;SUPORTE E ESTRUTURAS/PLATAFORMAS N2;FIDELIS
TINTA;TINTA N2677 AMARELO SINTÉTICO  5Y8/12;30/07/2025;quarta-feira;37131;PRÉDIO GAD;1,80;9,00;Litro;GAD;DEIGSON
TINTA;TINTA EPOXI, N2630 CINZA PREIME;31/07/2025;quinta-feira;37132;PRÉDIO PCI 3N;0,90;4,50;Litro;RUA 32;LUIZ
TINTA;TINTA MACROPOX 646 VERMELHO OXIDO ;31/07/2025;quinta-feira;37132;PRÉDIO PCI 3N;0,72;3,60;Litro;LINHA DE GAS NATURAL;LUIZ
TINTA;TINTA N2677 CINZA GELO N8;31/07/2025;quinta-feira;37131;PRÉDIO GAD;0,90;4,50;Litro;ELEVAÇÕES 11/15/22;LUIZ
TINTA;TINTA MACROPOX CINZA 6.5;31/07/2025;quinta-feira;37131;PRÉDIO GAD;0,90;4,50;Litro;GAD;DEIGSON
TINTA;TINTA MACROPOX CINZA 6.5;31/07/2025;quinta-feira;37131;PRÉDIO GAD;0,90;4,50;Litro;SOLDAS/LINHA BOMBA BOOSTER;LUIZ
TINTA;TINTA N2677 AMARELO SINTÉTICO  5Y8/12;31/07/2025;quinta-feira;37131;PRÉDIO GAD;1,80;9,00;Litro;GAD;
TINTA;TINTA N2677 AMARELO SINTÉTICO  5Y8/12;28/08/2025;quinta-feira;37131;PRÉDIO GAD;1,00;5,00;Litro;GAD;EDISON
TINTA;TINTA MACROPOX 646 VERMELHO OXIDO ;28/08/2025;quinta-feira;37131;PRÉDIO GAD;2,00;10,00;Litro;GAD;EDISON
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
